,time,frame,x,y,w,h,Rf,mx,my
0,0.64,16.0,136.0,52.0,8.0,12.0,0.357878,0.0,0.0
1,0.64,16.0,151.0,72.5,10.0,15.0,0.335765,0.0,0.0
2,0.64,16.0,168.5,71.0,15.0,16.0,0.395469,0.0,0.0
3,0.64,16.0,184.5,70.0,13.0,16.0,0.329307,0.0,0.0
4,0.64,16.0,136.0,84.5,8.0,19.0,0.339038,0.0,0.0
5,0.64,16.0,26.5,120.0,5.0,16.0,0.295224,0.0,-1.0
6,0.64,16.0,124.0,56.5,16.0,25.0,0.357219,0.0,0.0
7,0.64,16.0,120.5,91.5,17.0,25.0,0.679868,0.0,1.0
8,0.64,16.0,148.0,86.5,16.0,23.0,0.322449,0.0,0.0
9,0.64,16.0,177.5,89.5,19.0,23.0,0.289405,0.0,0.0
10,0.64,16.0,198.5,90.0,17.0,24.0,0.51186,0.0,0.0
11,0.64,16.0,260.5,86.5,37.0,37.0,0.328939,-2.0,-1.0
12,0.64,16.0,84.5,104.5,23.0,29.0,0.680168,-2.0,1.0
13,0.64,16.0,153.0,103.0,18.0,22.0,0.37074,0.0,0.0
14,0.64,16.0,177.5,101.0,19.0,22.0,0.393068,0.0,0.0
15,0.64,16.0,207.5,107.5,19.0,25.0,0.336601,0.0,0.0
16,0.64,16.0,153.0,118.5,22.0,27.0,0.449336,0.0,0.0
17,0.64,16.0,214.0,117.5,22.0,27.0,0.316135,0.0,0.0
18,0.64,16.0,68.5,139.5,31.0,37.0,0.769641,-2.0,2.0
19,0.64,16.0,152.5,133.0,25.0,26.0,0.466496,0.0,0.0
20,0.64,16.0,185.0,131.5,22.0,27.0,0.596416,0.0,0.0
21,0.64,16.0,218.0,132.0,20.0,32.0,0.454566,0.0,0.0
22,0.64,16.0,87.0,164.0,40.0,54.0,0.751062,-2.0,3.0
23,0.64,16.0,198.5,162.5,27.0,37.0,0.765441,0.0,0.0
24,0.64,16.0,230.5,160.0,27.0,34.0,0.71142,0.0,0.0
25,0.64,16.0,150.0,180.5,32.0,37.0,0.732218,0.0,0.0
26,0.64,16.0,285.0,182.0,26.0,50.0,0.727356,0.0,0.0
27,0.64,16.0,13.5,214.0,27.0,48.0,0.700251,-4.0,6.0
28,0.64,16.0,153.0,216.0,36.0,38.0,0.620029,0.0,0.0
29,0.64,16.0,240.5,108.0,41.0,58.0,0.458526,0.0,0.0
30,0.64,16.0,269.5,102.0,45.0,60.0,0.60167,-2.0,-1.0
31,0.64,16.0,250.5,193.0,41.0,54.0,0.846307,0.0,0.0
32,0.64,16.0,211.5,209.5,45.0,57.0,0.792553,0.0,0.0
33,0.76,19.0,136.0,52.0,8.0,12.0,0.357878,0.0,1.0
34,0.76,19.0,151.0,72.5,10.0,15.0,0.335765,0.0,0.0
35,0.76,19.0,168.5,71.0,15.0,16.0,0.395469,0.0,0.0
36,0.76,19.0,184.5,70.0,13.0,16.0,0.329307,0.0,0.0
37,0.76,19.0,136.0,84.5,8.0,19.0,0.339038,0.0,0.0
38,0.76,19.0,26.5,119.0,5.0,16.0,0.295224,0.0,0.0
39,0.76,19.0,124.0,56.5,16.0,25.0,0.357219,-1.0,1.0
40,0.76,19.0,120.5,92.5,17.0,25.0,0.679868,-1.0,1.0
41,0.76,19.0,148.0,86.5,16.0,23.0,0.322449,0.0,0.0
42,0.76,19.0,177.5,89.5,19.0,23.0,0.289405,0.0,0.0
43,0.76,19.0,198.5,90.0,17.0,24.0,0.51186,0.0,0.0
44,0.76,19.0,258.5,85.5,37.0,37.0,0.328939,-2.0,-1.0
45,0.76,19.0,82.5,105.5,23.0,29.0,0.680168,-1.0,3.0
46,0.76,19.0,153.0,103.0,18.0,22.0,0.37074,0.0,0.0
47,0.76,19.0,177.5,101.0,19.0,22.0,0.393068,0.0,0.0
48,0.76,19.0,207.5,107.5,19.0,25.0,0.336601,0.0,0.0
49,0.76,19.0,153.0,118.5,22.0,27.0,0.449336,0.0,0.0
50,0.76,19.0,214.0,117.5,22.0,27.0,0.316135,0.0,0.0
51,0.76,19.0,66.5,141.5,31.0,37.0,0.769641,-3.0,3.0
52,0.76,19.0,152.5,133.0,25.0,26.0,0.466496,0.0,0.0
53,0.76,19.0,185.0,131.5,22.0,27.0,0.596416,0.0,0.0
54,0.76,19.0,218.0,132.0,20.0,32.0,0.454566,0.0,0.0
55,0.76,19.0,85.0,167.0,40.0,54.0,0.751062,-2.0,4.0
56,0.76,19.0,198.5,162.5,27.0,37.0,0.765441,0.0,0.0
57,0.76,19.0,230.5,160.0,27.0,34.0,0.71142,0.0,0.0
58,0.76,19.0,150.0,180.5,32.0,37.0,0.732218,0.0,0.0
59,0.76,19.0,285.0,182.0,26.0,50.0,0.727356,0.0,0.0
60,0.76,19.0,9.5,220.0,27.0,48.0,0.700251,-5.0,6.0
61,0.76,19.0,153.0,216.0,36.0,38.0,0.620029,0.0,0.0
62,0.76,19.0,240.5,108.0,41.0,58.0,0.458526,0.0,0.0
63,0.76,19.0,267.5,101.0,45.0,60.0,0.60167,-2.0,-2.0
64,0.76,19.0,250.5,193.0,41.0,54.0,0.846307,0.0,0.0
65,0.76,19.0,211.5,209.5,45.0,57.0,0.792553,0.0,0.0
66,0.88,22.0,136.0,53.0,8.0,12.0,0.357878,-1.0,0.0
67,0.88,22.0,151.0,72.5,10.0,15.0,0.335765,0.0,0.0
68,0.88,22.0,168.5,71.0,15.0,16.0,0.395469,0.0,0.0
69,0.88,22.0,184.5,70.0,13.0,16.0,0.329307,0.0,0.0
70,0.88,22.0,136.0,84.5,8.0,19.0,0.339038,0.0,0.0
71,0.88,22.0,26.5,119.0,5.0,16.0,0.295224,0.0,-1.0
72,0.88,22.0,123.0,57.5,16.0,25.0,0.357219,-1.0,1.0
73,0.88,22.0,119.5,93.5,17.0,25.0,0.679868,0.0,2.0
74,0.88,22.0,148.0,86.5,16.0,23.0,0.322449,0.0,0.0
75,0.88,22.0,177.5,89.5,19.0,23.0,0.289405,0.0,0.0
76,0.88,22.0,198.5,90.0,17.0,24.0,0.51186,0.0,0.0
77,0.88,22.0,256.5,84.5,37.0,37.0,0.328939,-2.0,-2.0
78,0.88,22.0,81.5,108.5,23.0,29.0,0.680168,-1.0,1.0
79,0.88,22.0,153.0,103.0,18.0,22.0,0.37074,0.0,0.0
80,0.88,22.0,177.5,101.0,19.0,22.0,0.393068,0.0,0.0
81,0.88,22.0,207.5,107.5,19.0,25.0,0.336601,0.0,0.0
82,0.88,22.0,153.0,118.5,22.0,27.0,0.449336,0.0,0.0
83,0.88,22.0,214.0,117.5,22.0,27.0,0.316135,0.0,0.0
84,0.88,22.0,63.5,144.5,31.0,37.0,0.769641,-2.0,2.0
85,0.88,22.0,152.5,133.0,25.0,26.0,0.466496,0.0,0.0
86,0.88,22.0,185.0,131.5,22.0,27.0,0.596416,0.0,0.0
87,0.88,22.0,218.0,132.0,20.0,32.0,0.454566,0.0,0.0
88,0.88,22.0,83.0,171.0,40.0,54.0,0.751062,-2.0,3.0
89,0.88,22.0,198.5,162.5,27.0,37.0,0.765441,0.0,0.0
90,0.88,22.0,230.5,160.0,27.0,34.0,0.71142,0.0,0.0
91,0.88,22.0,150.0,180.5,32.0,37.0,0.732218,0.0,0.0
92,0.88,22.0,285.0,182.0,26.0,50.0,0.727356,0.0,0.0
93,0.88,22.0,4.5,226.0,27.0,48.0,0.700251,-6.0,6.0
94,0.88,22.0,153.0,216.0,36.0,38.0,0.620029,0.0,0.0
95,0.88,22.0,240.5,108.0,41.0,58.0,0.458526,0.0,0.0
96,0.88,22.0,265.5,99.0,45.0,60.0,0.60167,-3.0,-2.0
97,0.88,22.0,250.5,193.0,41.0,54.0,0.846307,0.0,0.0
