,time,frame,x,y,w,h,Rf,mx,my
0,0.64,16.0,194.5,27.0,15.0,10.0,0.585949,0.0,0.0
1,0.64,16.0,218.0,31.0,14.0,12.0,0.549451,-1.0,1.0
2,0.64,16.0,239.5,25.5,15.0,13.0,0.429579,0.0,1.0
3,0.64,16.0,264.0,32.5,14.0,15.0,0.463913,0.0,0.0
4,0.64,16.0,292.0,52.5,22.0,19.0,0.611595,-1.0,-1.0
5,0.64,16.0,271.5,78.0,27.0,20.0,0.795317,0.0,-3.0
6,0.64,16.0,324.0,75.0,20.0,18.0,0.48837,-1.0,-2.0
7,0.64,16.0,11.5,119.5,23.0,37.0,0.331007,0.0,0.0
8,0.64,16.0,311.5,182.0,39.0,54.0,0.812346,-3.0,-14.0
9,0.64,16.0,377.5,213.0,57.0,52.0,0.760573,-7.0,-15.0
10,0.64,16.0,187.5,223.5,55.0,29.0,0.349853,-7.0,20.0
11,0.76,19.0,194.5,27.0,15.0,10.0,0.585949,0.0,0.0
12,0.76,19.0,217.0,32.0,14.0,12.0,0.549451,-1.0,1.0
13,0.76,19.0,239.5,26.5,15.0,13.0,0.429579,0.0,0.0
14,0.76,19.0,264.0,32.5,14.0,15.0,0.463913,0.0,-1.0
15,0.76,19.0,291.0,51.5,22.0,19.0,0.611595,0.0,0.0
16,0.76,19.0,271.5,75.0,27.0,20.0,0.795317,-1.0,-2.0
17,0.76,19.0,323.0,73.0,20.0,18.0,0.48837,-1.0,-2.0
18,0.76,19.0,11.5,119.5,23.0,37.0,0.331007,0.0,0.0
19,0.76,19.0,308.5,168.0,39.0,54.0,0.812346,-3.0,-13.0
20,0.76,19.0,370.5,198.0,57.0,52.0,0.760573,-7.0,-13.0
21,0.88,22.0,194.5,27.0,15.0,10.0,0.585949,0.0,0.0
22,0.88,22.0,216.0,33.0,14.0,12.0,0.549451,0.0,1.0
23,0.88,22.0,239.5,26.5,15.0,13.0,0.429579,-1.0,1.0
24,0.88,22.0,264.0,31.5,14.0,15.0,0.463913,0.0,1.0
25,0.88,22.0,291.0,51.5,22.0,19.0,0.611595,-1.0,-1.0
26,0.88,22.0,270.5,73.0,27.0,20.0,0.795317,-1.0,-2.0
27,0.88,22.0,322.0,71.0,20.0,18.0,0.48837,-1.0,-1.0
28,0.88,22.0,11.5,119.5,23.0,37.0,0.331007,0.0,0.0
29,0.88,22.0,305.5,155.0,39.0,54.0,0.812346,-1.0,-12.0
30,0.88,22.0,363.5,185.0,57.0,52.0,0.760573,-4.0,-12.0
31,1.0,25.0,194.5,27.0,15.0,10.0,0.585949,0.0,0.0
32,1.0,25.0,216.0,34.0,14.0,12.0,0.549451,-1.0,2.0
33,1.0,25.0,238.5,27.5,15.0,13.0,0.429579,-1.0,3.0
