,time,frame,x,y,w,h,Rf,mx,my
0,3.04,76.0,298.0,115.5,26.0,37.0,0.315333,0.0,0.0
1,3.16,79.0,298.0,115.5,26.0,37.0,0.315333,0.0,0.0
2,3.28,82.0,298.0,115.5,26.0,37.0,0.315333,0.0,0.0
3,3.4,85.0,298.0,115.5,26.0,37.0,0.315333,0.0,0.0
4,4.48,112.0,312.0,106.0,14.0,42.0,0.293236,0.0,0.0
5,4.48,112.0,299.5,115.5,27.0,39.0,0.379157,0.0,0.0
6,4.6,115.0,312.0,106.0,14.0,42.0,0.293236,0.0,0.0
7,4.6,115.0,299.5,115.5,27.0,39.0,0.379157,0.0,0.0
8,4.72,118.0,312.0,106.0,14.0,42.0,0.293236,0.0,0.0
9,4.72,118.0,299.5,115.5,27.0,39.0,0.379157,0.0,0.0
10,4.84,121.0,312.0,106.0,14.0,42.0,0.293236,0.0,0.0
11,4.84,121.0,299.5,115.5,27.0,39.0,0.379157,0.0,0.0
12,4.96,124.0,279.5,114.0,33.0,36.0,0.33538,0.0,0.0
13,4.96,124.0,296.5,114.5,29.0,39.0,0.300697,0.0,0.0
14,5.08,127.0,279.5,114.0,33.0,36.0,0.33538,0.0,0.0
15,5.08,127.0,296.5,114.5,29.0,39.0,0.300697,0.0,0.0
16,5.2,130.0,279.5,114.0,33.0,36.0,0.33538,0.0,0.0
17,5.2,130.0,296.5,114.5,29.0,39.0,0.300697,0.0,0.0
18,5.32,133.0,279.5,114.0,33.0,36.0,0.33538,0.0,0.0
19,5.32,133.0,296.5,114.5,29.0,39.0,0.300697,0.0,0.0
20,5.44,136.0,280.0,115.0,38.0,36.0,0.268571,0.0,0.0
21,5.44,136.0,295.5,115.0,31.0,40.0,0.260064,0.0,0.0
22,5.56,139.0,280.0,115.0,38.0,36.0,0.268571,0.0,0.0
23,5.56,139.0,295.5,115.0,31.0,40.0,0.260064,0.0,0.0
24,5.68,142.0,280.0,115.0,38.0,36.0,0.268571,1.0,1.0
25,5.68,142.0,295.5,115.0,31.0,40.0,0.260064,0.0,0.0
26,5.8,145.0,281.0,116.0,38.0,36.0,0.268571,0.0,0.0
27,5.8,145.0,295.5,115.0,31.0,40.0,0.260064,0.0,0.0
28,7.36,184.0,296.5,116.0,29.0,38.0,0.349607,0.0,0.0
29,7.36,184.0,310.5,117.0,17.0,54.0,0.31191,0.0,0.0
30,7.48,187.0,296.5,116.0,29.0,38.0,0.349607,0.0,0.0
31,7.48,187.0,310.5,117.0,17.0,54.0,0.31191,0.0,0.0
32,7.6,190.0,296.5,116.0,29.0,38.0,0.349607,0.0,0.0
33,7.6,190.0,310.5,117.0,17.0,54.0,0.31191,0.0,0.0
34,7.72,193.0,296.5,116.0,29.0,38.0,0.349607,0.0,0.0
35,7.72,193.0,310.5,117.0,17.0,54.0,0.31191,0.0,0.0
36,7.84,196.0,295.0,115.5,30.0,37.0,0.252726,0.0,0.0
37,7.96,199.0,295.0,115.5,30.0,37.0,0.252726,0.0,0.0
38,8.08,202.0,295.0,115.5,30.0,37.0,0.252726,0.0,0.0
39,8.2,205.0,295.0,115.5,30.0,37.0,0.252726,0.0,0.0
40,8.32,208.0,296.0,115.5,28.0,37.0,0.254506,0.0,0.0
